Word/Phrase,Effort Score,Hits,Grid Name,Actual Position X,Actual Position Y,XY,Path,Cell Type,count
can,4.55,4,07 DAILY LIFE - shopping core TEEN,746.67,77.14,"(1, 4)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,154
more,4.55,4,07 DAILY LIFE - shopping core TEEN,960.0,540.0,"(4, 5)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,128
my,4.55,4,07 DAILY LIFE - shopping core TEEN,533.33,77.14,"(1, 3)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,138
that,4.55,4,07 DAILY LIFE - shopping core TEEN,320.0,848.57,"(6, 2)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,126
it,4.55,4,07 DAILY LIFE - shopping core TEEN,746.67,77.14,"(1, 4)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN,Regular,131
play Radio 1,5.57,5,23 APPS - Alexa Radio,320.0,77.14,"(1, 2)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS - Alexa Home -> 23 APPS - Alexa Radio,WordList,1
play Radio 2,5.57,5,23 APPS - Alexa Radio,320.0,231.43,"(2, 2)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS - Alexa Home -> 23 APPS - Alexa Radio,WordList,1
play Radio 3,5.57,5,23 APPS - Alexa Radio,320.0,385.71,"(3, 2)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS - Alexa Home -> 23 APPS - Alexa Radio,WordList,1
play Radio 4,5.57,5,23 APPS - Alexa Radio,320.0,540.0,"(4, 2)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS - Alexa Home -> 23 APPS - Alexa Radio,WordList,1
play Radio 5,5.57,5,23 APPS - Alexa Radio,533.33,77.14,"(1, 3)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS - Alexa Home -> 23 APPS - Alexa Radio,WordList,1
play Kiss FM,5.57,5,23 APPS - Alexa Radio,533.33,231.43,"(2, 3)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS - Alexa Home -> 23 APPS - Alexa Radio,WordList,1
play Heart UK Radio,5.57,5,23 APPS - Alexa Radio,533.33,385.71,"(3, 3)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS - Alexa Home -> 23 APPS - Alexa Radio,WordList,1
play Capital FM,5.57,5,23 APPS - Alexa Radio,533.33,540.0,"(4, 3)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS - Alexa Home -> 23 APPS - Alexa Radio,WordList,1
play Magic FM,5.57,5,23 APPS - Alexa Radio,533.33,694.29,"(5, 3)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS - Alexa Home -> 23 APPS - Alexa Radio,WordList,1
play Classic FM,5.57,5,23 APPS - Alexa Radio,320.0,694.29,"(5, 2)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS - Alexa Home -> 23 APPS - Alexa Radio,WordList,1
play Smooth Radio,5.57,5,23 APPS - Alexa Radio,320.0,848.57,"(6, 2)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 23 APPS - menu -> 23 APPS - Alexa Home -> 23 APPS - Alexa Radio,WordList,1
wash,9.55,9,07 DAILY ACTIVITIES - washing phrases with core,320.0,1002.86,"(7, 2)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 19 MAGIC WAND - Settings for switch touch and pointer -> Choose Version -> Child vocabulary -> 01 CORE - Home CHILD -> 07 DAILY ACTIVITIES - .Index with core -> 07 DAILY ACTIVITIES - washing core -> 07 DAILY ACTIVITIES - washing phrases with core,Regular,9
turn,9.55,9,07 DAILY ACTIVITIES - washing phrases with core,320.0,1157.14,"(8, 2)",01 CORE - Home - TEEN ADULT -> 19 MAGIC WAND - Main - TEEN -> 19 MAGIC WAND - Settings for switch touch and pointer -> Choose Version -> Child vocabulary -> 01 CORE - Home CHILD -> 07 DAILY ACTIVITIES - .Index with core -> 07 DAILY ACTIVITIES - washing core -> 07 DAILY ACTIVITIES - washing phrases with core,Regular,18
late,3.55,3,13 TIME - Expanded,1173.33,848.57,"(6, 6)",01 CORE - Home - TEEN ADULT -> 13 TIME - Core -> 13 TIME - Expanded,Regular,2
December,3.55,3,13 TIME - Expanded,960.0,385.71,"(3, 5)",01 CORE - Home - TEEN ADULT -> 13 TIME - Core -> 13 TIME - Expanded,Regular,1
soon,3.55,3,13 TIME - Expanded,1173.33,1002.86,"(7, 6)",01 CORE - Home - TEEN ADULT -> 13 TIME - Core -> 13 TIME - Expanded,Regular,8
morning,3.55,3,13 TIME - Expanded,320.0,1002.86,"(7, 2)",01 CORE - Home - TEEN ADULT -> 13 TIME - Core -> 13 TIME - Expanded,Regular,3
week,3.55,3,13 TIME - Expanded,320.0,694.29,"(5, 2)",01 CORE - Home - TEEN ADULT -> 13 TIME - Core -> 13 TIME - Expanded,Regular,2
